"","Parque","longitude","latitude","ACI.low","ADI.low","BI.low","NDSI.low","ACI.high","ADI.high"
"1","Parque #1",-100.31008,25.732614,179.405614778361,1.706813,21.4890435963329,-0.661411764458633,157.922787459427,2.275396
"2","Parque #2",-100.310483,25.733709,170.355339710966,2.041892,24.8413480271954,-0.219365246244137,157.901357772906,2.330694
"3","Parque #3",-100.311859,25.734335,160.482257766426,1.865969,19.6272148000344,-0.643538480141369,155.876383501428,2.328439
"4","Parque #4",-100.309291,25.735133,149.958869997696,0.342367,19.4230826108239,-0.365468698940297,160.248578918681,1.434398
"5","Parque #5",-100.30652,25.736008,162.634260823392,2.081657,23.882551265085,-0.605783342144579,159.317946472778,2.052007
"6","Parque #6",-100.310563,25.736849,167.857844686169,2.348387,31.4511335969941,0.306714556661016,162.495380461634,2.295999
"7","Parque #7",-100.310526,25.738464,166.89008929226,1.742312,23.5031095972571,-0.273498202889162,161.911836429322,2.099096
"8","Parque #8",-100.308797,25.73741,145.960916653156,1.212505,20.657925149835,-0.680728471232897,159.191446602432,2.28079
"9","Parque #9",-100.307245,25.737941,154.575152593425,1.408735,17.7130833136274,-0.50914976861044,160.612190321343,2.225173
"10","Parque #10",-100.305173,25.738574,165.247142484577,1.917391,23.8084182465467,-0.632216524479257,160.481026221604,2.290647
